user_id,organization_id,organization_name,Duration,programming_track,language_skills,required_language,experience_years,Feedback,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Communication_Skills,Presentation_Skills
1,1,Code for Cause,4 months,Database,"MySQL, Oracle, MongoDB",MongoDB,4,4,2,5,3,3,2,2,2
2,2,Tech Relief,3 months,Back_end,PHP,"PHP, Python",2,4,3,3,2,3,5,2,2
3,3,Alexandria Coding Academy,6 months,Back_end,"PHP, Node.js","Node.js, PHP",5,5,5,4,3,4,4,3,4
4,4,OpenSource Builders,2 months,Database,"MySQL, PostgreSQL, Oracle","Oracle, MySQL, MongoDB",1,1,2,3,1,2,3,1,1
5,5,Digital Hope Initiative,4 months,Front_end,"JavaScript, HTML, React","React, JavaScript, CSS",3,2,4,3,3,4,2,3,4
6,6,Future Coders Club,3 months,Front_end,CSS,"CSS, HTML",2,3,3,3,3,4,2,2,3
7,7,Web Pioneers,6 months,Database,PostgreSQL,"PostgreSQL, MySQL",5,3,3,5,3,4,1,3,3
8,8,Data Science Collective,5 months,Back_end,"Laravel, PHP, Node.js","Node.js, PHP, .NET",4,5,4,4,2,3,4,2,3
9,9,Software Bridge,2 months,Database,"PostgreSQL, Oracle, MySQL","MySQL, Oracle, PostgreSQL",1,3,2,3,1,2,3,1,1
10,10,Innovate Tech Lab,4 months,Database,"MySQL, Oracle",Oracle,3,3,2,4,2,3,4,2,2
11,11,Global Dev Network,6 months,Database,"Oracle, PostgreSQL","MongoDB, Oracle",5,3,3,5,3,3,1,2,3
12,12,Clean Code Society,3 months,Back_end,"Node.js, Python","PHP, Node.js, Python",2,3,4,3,2,2,5,1,2
13,13,Backend Warriors,5 months,Back_end,"Node.js, Python, Laravel","Python, Node.js",4,4,4,4,3,3,4,3,3
14,14,Frontend United,2 months,Database,"PostgreSQL, MySQL, Oracle",PostgreSQL,1,3,2,3,1,2,2,1,1
15,15,The Algorithm Lab,3 months,Database,"PostgreSQL, MySQL",PostgreSQL,3,2,2,4,1,3,2,1,2
16,16,Silicon Oasis Volunteers,6 months,Database,Oracle,"Oracle, MySQL",5,3,3,5,3,3,2,2,3
17,17,Cairo Dev Circle,3 months,Database,"MongoDB, MySQL","PostgreSQL, Oracle, MongoDB",2,2,2,3,1,3,2,1,2
18,18,Binary Stars,5 months,Front_end,"React, JavaScript, HTML","Tailwind CSS, JavaScript",4,3,5,3,3,4,3,3,4
19,19,Mega Systems Foundation,2 months,Back_end,PHP,"Node.js, PHP",1,1,3,2,1,2,3,1,2
20,20,Cloud Solutions Hub,4 months,Front_end,"React, HTML, CSS","Tailwind CSS, React",3,3,4,3,3,4,2,3,4
